price,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_bedrooms,fl_open_fire,fl_terrace,fl_garden,garden_sqm,fl_swimming_pool,subproperty_type_encoded,region_encoded,epc_encoded,state_encoded,province_encoded
495000.0,5340.0,1997.0,166.0,325.0,5.0,1.0,0.0,0.0,0.0,0.0,0,1,8,1,8
250000.0,1400.0,1976.0,166.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,8,1,9
422000.0,1000.0,1975.0,98.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,2,5,0,5
283296.0,8540.0,2021.0,95.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0
330396.0,1480.0,1976.0,189.0,246.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,5,1,9
283500.0,4620.0,2022.0,102.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,4
219000.0,1081.0,1975.0,85.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,2,5,0,5
295000.0,9170.0,2024.0,78.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,2,1,1
299000.0,1190.0,1918.0,160.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0,2,9,2,5
495451.0,7170.0,1950.0,208.0,506.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,9,1,3
299500.0,6032.0,2018.0,192.0,0.0,3.0,0.0,1.0,1.0,109.0,0.0,1,1,2,0,3
610000.0,2000.0,2023.0,136.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,2
239000.0,4830.0,2023.0,91.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,4
295000.0,1541.0,1967.0,191.0,1670.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,7,2,6
535000.0,9450.0,1972.0,454.0,980.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,1
255000.0,7760.0,2020.0,166.0,1308.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,9,4,3
275000.0,4100.0,2022.0,105.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,3,0,4
349000.0,3770.0,1973.0,190.0,678.0,3.0,0.0,1.0,1.0,567.0,0.0,0,0,5,1,7
980000.0,8000.0,1978.0,290.0,325.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0
120000.0,9200.0,1960.0,92.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,7,1,1
580181.0,9420.0,1972.0,168.0,582.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,1
299000.0,9320.0,2010.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,5,1,1
145000.0,7012.0,1989.0,148.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,9,2,3
418450.0,9300.0,2021.0,117.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,1
430000.0,2000.0,1977.0,68.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,2
483000.0,1200.0,1975.0,93.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,2,5,0,5
245000.0,8400.0,2023.0,60.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,2,1,0
420000.0,4357.0,2023.0,105.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,0,4
175000.0,4420.0,1959.0,111.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,1,4,1,4
269000.0,9040.0,2001.0,129.0,252.0,2.0,0.0,1.0,1.0,0.0,0.0,0,0,7,5,1
249000.0,3870.0,1959.0,240.0,5043.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,7
235000.0,2170.0,1976.0,85.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,0,3,1,2
350000.0,7503.0,2020.0,166.0,2201.0,4.0,1.0,0.0,1.0,0.0,0.0,0,1,8,2,3
295000.0,2300.0,2024.0,93.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,2
310000.0,1082.0,1975.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,2,3,0,5
360524.0,8550.0,1983.0,135.0,288.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0
475000.0,3472.0,1991.0,215.0,2512.0,3.0,1.0,1.0,1.0,0.0,0.0,0,0,3,1,6
550000.0,8000.0,1978.0,291.0,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,8,1,0
899000.0,2000.0,1958.0,385.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,2
294948.0,1480.0,2024.0,94.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,1,9
460000.0,9255.0,2024.0,189.0,742.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,2,0,1
185000.0,7000.0,1966.0,130.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,3
325000.0,8550.0,2021.0,112.0,231.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,0
189500.0,8434.0,1974.0,54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,5,1,0
398000.0,6791.0,1975.0,150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,7,1,10
235000.0,8400.0,2023.0,58.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0
565000.0,8670.0,1972.0,89.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,4,1,0
215000.0,2600.0,1977.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,2
722900.0,2800.0,2022.0,146.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,2
395000.0,2221.0,2023.0,124.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0,0,2,0,2
345000.0,8660.0,1960.0,164.0,349.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,5,1,0
270000.0,9260.0,2022.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,1
575000.0,2812.0,1966.0,182.0,530.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,7,1,2
475000.0,8000.0,1978.0,220.0,175.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,8,1,0
380000.0,1300.0,1980.0,175.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0,1,5,1,9
409000.0,9040.0,2024.0,105.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,1
279000.0,7700.0,1930.0,285.0,345.0,6.0,0.0,1.0,1.0,82.0,0.0,0,1,8,1,3
202000.0,7000.0,2022.0,79.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,1,2,0,3
286500.0,3900.0,2023.0,95.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,2,0,7
245000.0,5590.0,1920.0,175.0,154.0,4.0,0.0,1.0,0.0,0.0,0.0,0,1,9,0,8
